Rank,Restaurant,Content,Sales_mn,YOY_Sales,Units,YOY_Units,Headquarters,Segment_Category
1,McDonald's,NA,40412,4.90%,13846,-0.50%,NA,Quick Service & Burger
2,Starbucks,NA,21380,8.60%,15049,3.00%,NA,Quick Service & Coffee Cafe
3,Chick-fil-A,"While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.",11320,13.00%,2470,5.00%,NA,Quick Service & Chicken
4,Taco Bell,NA,11293,9.00%,6766,2.70%,NA,Quick Service & Mexican
5,Burger King,NA,10204,2.70%,7346,0.20%,NA,Quick Service & Burger
6,Subway,NA,10200,-2.00%,23801,-4.00%,NA,Quick Service & Sandwich
7,Wendy's,NA,9762,4.20%,5852,0.70%,NA,Quick Service & Burger
8,Dunkin',"Dunkin' dropped ""Donuts"" from its name and repositioned as a beverage-first concept, and it seems to have paid off, said Kevin Schimpf of Technomic. ""To have a good year while Starbucks is also still continuing to grow away, I think that was impressive for Dunkin',"" he said.",9228,5.00%,9630,2.20%,NA,Quick Service & Coffee Cafe
9,Domino's,NA,7044,6.90%,6126,4.30%,NA,Quick Service & Pizza
10,Panera Bread,NA,5890,4.00%,2160,3.20%,NA,Fast Casual & Bakery Cafe
11,Pizza Hut,"The chain moved to replace underperforming dine-in restaurants with takeout- and delivery-only units in 2019, leading to a 2.4% decline in unit count. Executives said in August that unit count could drop to as low as 7,000 before returning to normal levels as units are converted.",5558,0.60%,7306,-2.40%,NA,Quick Service & Pizza
12,Chipotle Mexican Grill,NA,5509,14.80%,2584,5.30%,NA,Fast Casual & Mexican
13,Sonic Drive-In,"The drive-in chain grew same-store sales for the second straight year under new parent Inspire Brands, which acquired Sonic in 2018. It kicked off 2020 with a refreshed look and tag line: ""This is how we Sonic.""",4687,4.60%,3526,-2.10%,NA,Quick Service & Burger
14,KFC,NA,4546,2.50%,4065,-0.20%,NA,Quick Service & Chicken
15,Olive Garden,"Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.",4287,5.00%,866,1.30%,NA,Casual Dining & Italian/Pizza
